total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,symbol,lot
19,13,6,68.4,6.216,11098.35,1017.39,354.62,3,11,0,0,1,4,57.9,0.0,241.2,0,19,0,13,150,30,5,1,5,500,0,99.0,15,SENSEX,10
19,13,6,68.4,6.216,11098.35,1017.39,354.62,3,11,0,0,1,4,57.9,0.0,241.2,0,19,0,13,150,30,5,1,5,500,1,99.0,15,SENSEX,10
16,14,2,87.5,6.11,8420.15,719.15,823.95,2,5,0,0,8,1,31.2,0.0,330.7,0,16,0,14,180,30,5,1,10,200,0,99.0,15,SENSEX,10
16,14,2,87.5,6.11,8420.15,719.15,823.95,2,5,0,0,8,1,31.2,0.0,330.7,0,16,0,14,180,30,5,1,10,200,1,99.0,15,SENSEX,10
19,13,6,68.4,6.059,11144.0,1026.67,367.12,3,12,0,0,0,4,63.2,0.0,246.2,0,19,0,13,150,30,5,1,10,0,0,99.0,15,SENSEX,10
19,13,6,68.4,6.059,11144.0,1026.67,367.12,3,12,0,0,0,4,63.2,0.0,246.2,0,19,0,13,150,30,5,1,10,0,1,99.0,15,SENSEX,10
19,13,6,68.4,6.004,11023.35,1017.39,367.12,3,11,0,0,1,4,57.9,0.0,246.2,0,19,0,13,150,30,5,1,10,500,0,99.0,15,SENSEX,10
19,13,6,68.4,6.004,11023.35,1017.39,367.12,3,11,0,0,1,4,57.9,0.0,246.2,0,19,0,13,150,30,5,1,10,500,1,99.0,15,SENSEX,10
25,18,7,72.0,5.956,11703.6,781.39,337.36,4,17,0,0,0,4,68.0,0.0,347.1,0,25,0,18,150,30,5,1,5,0,0,99.0,20,SENSEX,10
25,18,7,72.0,5.956,11703.6,781.39,337.36,4,17,0,0,0,4,68.0,0.0,347.1,0,25,0,18,150,30,5,1,5,0,1,99.0,20,SENSEX,10
36,32,4,88.9,5.955,17169.65,644.85,866.35,4,17,0,0,14,1,47.2,0.0,463.6,0,36,0,32,180,30,5,1,30,200,0,99.0,0,SENSEX,10
36,32,4,88.9,5.955,17169.65,644.85,866.35,4,17,0,0,14,1,47.2,0.0,463.6,0,36,0,32,180,30,5,1,30,200,1,99.0,0,SENSEX,10
25,18,7,72.0,5.905,11582.95,774.69,337.36,4,16,0,0,1,4,64.0,0.0,347.1,0,25,0,18,150,30,5,1,5,500,0,99.0,20,SENSEX,10
25,18,7,72.0,5.905,11582.95,774.69,337.36,4,16,0,0,1,4,64.0,0.0,347.1,0,25,0,18,150,30,5,1,5,500,1,99.0,20,SENSEX,10
35,29,6,82.9,5.783,20965.3,874.1,730.61,5,27,0,0,0,3,77.1,0.0,427.6,0,35,0,29,180,30,3,1,5,0,0,99.0,0,SENSEX,10
35,29,6,82.9,5.783,20965.3,874.1,730.61,5,27,0,0,0,3,77.1,0.0,427.6,0,35,0,29,180,30,3,1,5,0,1,99.0,0,SENSEX,10
16,14,2,87.5,5.76,8320.15,719.15,873.95,2,5,0,0,8,1,31.2,0.0,340.7,0,16,0,14,180,30,5,1,20,200,0,99.0,15,SENSEX,10
16,14,2,87.5,5.76,8320.15,719.15,873.95,2,5,0,0,8,1,31.2,0.0,340.7,0,16,0,14,180,30,5,1,20,200,1,99.0,15,SENSEX,10
25,18,7,72.0,5.714,11603.6,781.39,351.64,4,17,0,0,0,4,68.0,0.0,352.1,0,25,0,18,150,30,5,1,10,0,0,99.0,20,SENSEX,10
25,18,7,72.0,5.714,11603.6,781.39,351.64,4,17,0,0,0,4,68.0,0.0,352.1,0,25,0,18,150,30,5,1,10,0,1,99.0,20,SENSEX,10
19,13,6,68.4,5.673,10994.0,1026.67,392.12,3,12,0,0,0,4,63.2,0.0,256.2,0,19,0,13,150,30,5,1,20,0,0,99.0,15,SENSEX,10
19,13,6,68.4,5.673,10994.0,1026.67,392.12,3,12,0,0,0,4,63.2,0.0,256.2,0,19,0,13,150,30,5,1,20,0,1,99.0,15,SENSEX,10
25,18,7,72.0,5.665,11482.95,774.69,351.64,4,16,0,0,1,4,64.0,0.0,352.1,0,25,0,18,150,30,5,1,10,500,0,99.0,20,SENSEX,10
25,18,7,72.0,5.665,11482.95,774.69,351.64,4,16,0,0,1,4,64.0,0.0,352.1,0,25,0,18,150,30,5,1,10,500,1,99.0,20,SENSEX,10
35,29,6,82.9,5.66,20430.0,855.64,730.61,5,26,0,0,1,3,74.3,0.0,427.6,0,35,0,29,180,30,3,1,5,500,0,99.0,0,SENSEX,10
35,29,6,82.9,5.66,20430.0,855.64,730.61,5,26,0,0,1,3,74.3,0.0,427.6,0,35,0,29,180,30,3,1,5,500,1,99.0,0,SENSEX,10
19,13,6,68.4,5.622,10873.35,1017.39,392.12,3,11,0,0,1,4,57.9,0.0,256.2,0,19,0,13,150,30,5,1,20,500,0,99.0,15,SENSEX,10
19,13,6,68.4,5.622,10873.35,1017.39,392.12,3,11,0,0,1,4,57.9,0.0,256.2,0,19,0,13,150,30,5,1,20,500,1,99.0,15,SENSEX,10
35,29,6,82.9,5.622,20840.3,874.1,751.44,5,27,0,0,0,3,77.1,0.0,432.6,0,35,0,29,180,30,3,1,10,0,0,99.0,0,SENSEX,10
35,29,6,82.9,5.622,20840.3,874.1,751.44,5,27,0,0,0,3,77.1,0.0,432.6,0,35,0,29,180,30,3,1,10,0,1,99.0,0,SENSEX,10
19,13,6,68.4,5.611,10229.15,957.52,369.78,3,12,0,0,0,4,63.2,0.0,251.6,0,19,0,13,150,30,3,1,5,0,0,99.0,15,SENSEX,10
19,13,6,68.4,5.611,10229.15,957.52,369.78,3,12,0,0,0,4,63.2,0.0,251.6,0,19,0,13,150,30,3,1,5,0,1,99.0,15,SENSEX,10
19,13,6,68.4,5.611,10229.15,957.52,369.78,3,12,0,0,0,4,63.2,0.0,251.6,0,19,0,13,150,30,3,1,5,500,0,99.0,15,SENSEX,10
19,13,6,68.4,5.611,10229.15,957.52,369.78,3,12,0,0,0,4,63.2,0.0,251.6,0,19,0,13,150,30,3,1,5,500,1,99.0,15,SENSEX,10
9,7,2,77.8,5.56,4185.35,729.01,458.88,2,3,0,0,4,0,33.3,0.0,270.1,1,8,0,7,180,30,5,1,5,200,0,0.8,10,SENSEX,10
9,7,2,77.8,5.56,4185.35,729.01,458.88,2,3,0,0,4,0,33.3,0.0,270.1,1,8,0,7,180,30,5,1,5,200,1,0.8,10,SENSEX,10
35,29,6,82.9,5.504,20305.0,855.64,751.44,5,26,0,0,1,3,74.3,0.0,432.6,0,35,0,29,180,30,3,1,10,500,0,99.0,0,SENSEX,10
35,29,6,82.9,5.504,20305.0,855.64,751.44,5,26,0,0,1,3,74.3,0.0,432.6,0,35,0,29,180,30,3,1,10,500,1,99.0,0,SENSEX,10
16,14,2,87.5,5.448,8220.15,719.15,923.95,2,5,0,0,8,1,31.2,0.0,350.7,0,16,0,14,180,30,5,1,30,200,0,99.0,15,SENSEX,10
16,14,2,87.5,5.448,8220.15,719.15,923.95,2,5,0,0,8,1,31.2,0.0,350.7,0,16,0,14,180,30,5,1,30,200,1,99.0,15,SENSEX,10
19,13,6,68.4,5.427,10154.15,957.52,382.28,3,12,0,0,0,4,63.2,0.0,256.6,0,19,0,13,150,30,3,1,10,0,0,99.0,15,SENSEX,10
19,13,6,68.4,5.427,10154.15,957.52,382.28,3,12,0,0,0,4,63.2,0.0,256.6,0,19,0,13,150,30,3,1,10,0,1,99.0,15,SENSEX,10
19,13,6,68.4,5.427,10154.15,957.52,382.28,3,12,0,0,0,4,63.2,0.0,256.6,0,19,0,13,150,30,3,1,10,500,0,99.0,15,SENSEX,10
19,13,6,68.4,5.427,10154.15,957.52,382.28,3,12,0,0,0,4,63.2,0.0,256.6,0,19,0,13,150,30,3,1,10,500,1,99.0,15,SENSEX,10
