total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,t1_src,tsl_type,tsl_buf,symbol,lot
12,7,5,58.3,6.283,6535.84,1110.43,247.43,4,5,0,0,0,3,41.7,0.0,164.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,htf,none,0,BANKNIFTY,15
12,7,5,58.3,6.283,6535.84,1110.43,247.43,4,5,0,0,0,3,41.7,0.0,164.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,htf,bar_low,5,BANKNIFTY,15
12,7,5,58.3,6.283,6535.84,1110.43,247.43,4,5,0,0,0,3,41.7,0.0,164.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,htf,bar_low,10,BANKNIFTY,15
12,7,5,58.3,6.283,6535.84,1110.43,247.43,4,5,0,0,0,3,41.7,0.0,164.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,htf,bar_low,20,BANKNIFTY,15
12,7,5,58.3,5.722,5841.87,1011.29,247.43,4,2,3,0,0,3,50.0,25.0,162.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,mtf,none,0,BANKNIFTY,15
12,7,5,58.3,5.271,5283.87,931.57,247.43,4,2,2,2,0,2,50.0,16.7,162.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,mtf,bar_low,5,BANKNIFTY,15
12,7,5,58.3,5.235,5238.87,925.14,247.43,4,2,2,2,0,2,50.0,16.7,162.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,mtf,bar_low,10,BANKNIFTY,15
12,7,5,58.3,5.162,5148.87,912.29,247.43,4,2,2,2,0,2,50.0,16.7,162.8,3,9,0,7,180,30,3,3,5.0,0.0,1,0.8,10,mtf,bar_low,20,BANKNIFTY,15
