total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,t1_src,tsl_type,tsl_buf,symbol,lot
21,19,2,90.5,7.8,10865.8,655.98,798.95,2,9,0,0,9,1,42.9,0.0,423.9,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,htf,none,0,SENSEX,10
21,19,2,90.5,7.8,10865.8,655.98,798.95,2,9,0,0,9,1,42.9,0.0,423.9,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,htf,bar_low,5,SENSEX,10
21,19,2,90.5,7.8,10865.8,655.98,798.95,2,9,0,0,9,1,42.9,0.0,423.9,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,htf,bar_low,10,SENSEX,10
21,19,2,90.5,7.8,10865.8,655.98,798.95,2,9,0,0,9,1,42.9,0.0,423.9,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,htf,bar_low,20,SENSEX,10
21,19,2,90.5,6.469,8739.43,544.07,798.95,2,5,2,6,6,0,61.9,9.5,414.7,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,mtf,bar_low,20,SENSEX,10
21,19,2,90.5,6.461,8725.81,543.35,798.95,2,5,2,6,6,0,61.9,9.5,414.7,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,mtf,bar_low,5,SENSEX,10
21,19,2,90.5,6.423,8665.81,540.2,798.95,2,5,2,6,6,0,61.9,9.5,414.7,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,mtf,bar_low,10,SENSEX,10
21,19,2,90.5,6.201,8311.12,521.53,798.95,2,5,3,5,6,0,61.9,14.3,414.7,0,21,0,19,180,30,5,1,5.0,200.0,0,99.0,20,mtf,none,0,SENSEX,10
